epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9276,1.73235,2.68378,1.56346,0.27103,0.20296,0.14993,0.0607,2.3039,3.19158,1.94968,0.00066,0.00066,0.00066
2,43.0196,1.75223,2.01208,1.55997,0.35002,0.34384,0.28924,0.11373,2.1674,2.65552,1.84567,0.0013004,0.0013004,0.0013004
3,62.6189,1.73534,1.78862,1.5545,0.27167,0.40887,0.26366,0.08958,2.08958,4.55246,1.73151,0.0019144,0.0019144,0.0019144
4,82.1836,1.75077,1.71857,1.54791,0.43347,0.28079,0.24106,0.07717,2.46482,2.37736,1.95388,0.0018812,0.0018812,0.0018812
5,101.385,1.69119,1.60731,1.50777,0.43491,0.36749,0.275,0.11552,2.27216,2.32167,1.85485,0.0018416,0.0018416,0.0018416
6,120.617,1.65614,1.50707,1.47874,0.45123,0.35468,0.3261,0.14395,2.03596,2.18496,1.61821,0.001802,0.001802,0.001802
7,139.985,1.6201,1.46271,1.47073,0.49122,0.3064,0.32491,0.10096,2.3083,2.21531,1.7317,0.0017624,0.0017624,0.0017624
8,159.211,1.59656,1.45183,1.46014,0.46001,0.39194,0.38026,0.16523,1.99762,2.0569,1.63635,0.0017228,0.0017228,0.0017228
9,178.575,1.57579,1.37501,1.42895,0.59079,0.43744,0.46772,0.19975,1.92681,1.93666,1.5086,0.0016832,0.0016832,0.0016832
10,197.904,1.53403,1.30233,1.40318,0.52729,0.43519,0.42374,0.19383,1.94883,1.73665,1.51743,0.0016436,0.0016436,0.0016436
11,217.205,1.52855,1.3032,1.41362,0.47396,0.33005,0.3344,0.14923,2.06995,2.18306,1.62413,0.001604,0.001604,0.001604
12,236.229,1.49055,1.24324,1.37301,0.54731,0.33103,0.3878,0.1311,2.36571,2.06554,1.76885,0.0015644,0.0015644,0.0015644
13,255.528,1.46861,1.20981,1.36969,0.55893,0.40887,0.39172,0.18191,2.03618,1.83153,1.62024,0.0015248,0.0015248,0.0015248
14,274.768,1.4842,1.23087,1.36964,0.58348,0.40493,0.41991,0.20619,1.83822,1.9817,1.49925,0.0014852,0.0014852,0.0014852
15,294.004,1.4419,1.18022,1.35017,0.54679,0.41281,0.37073,0.17276,1.96225,1.95614,1.56343,0.0014456,0.0014456,0.0014456
16,313.257,1.44381,1.17545,1.33854,0.53024,0.36552,0.38539,0.17543,2.06584,1.93844,1.58479,0.001406,0.001406,0.001406
17,332.541,1.4216,1.12523,1.34197,0.58841,0.40591,0.42045,0.19382,1.971,1.95687,1.54924,0.0013664,0.0013664,0.0013664
18,351.952,1.41495,1.14176,1.32847,0.62741,0.35337,0.39585,0.17068,2.1211,2.01994,1.62703,0.0013268,0.0013268,0.0013268
19,371.115,1.40685,1.10026,1.31552,0.60668,0.41281,0.42957,0.19795,2.04836,1.89289,1.61425,0.0012872,0.0012872,0.0012872
20,390.297,1.38407,1.09393,1.3205,0.63632,0.46601,0.46451,0.2094,1.95352,1.73605,1.54988,0.0012476,0.0012476,0.0012476
21,409.501,1.38078,1.07078,1.29489,0.5444,0.40497,0.39819,0.19141,1.94727,1.96042,1.51746,0.001208,0.001208,0.001208
22,428.79,1.37434,1.05576,1.29903,0.59721,0.4266,0.42141,0.18498,2.01901,1.88779,1.58255,0.0011684,0.0011684,0.0011684
23,447.96,1.3612,1.05179,1.28987,0.52921,0.44335,0.44382,0.20179,2.03002,1.96954,1.58865,0.0011288,0.0011288,0.0011288
24,467.348,1.35819,1.03948,1.28591,0.58484,0.35764,0.39674,0.19091,1.89177,1.90223,1.52029,0.0010892,0.0010892,0.0010892
25,486.499,1.34654,1.03117,1.28462,0.54479,0.42365,0.4346,0.19127,2.01859,1.9196,1.59261,0.0010496,0.0010496,0.0010496
26,505.468,1.32331,0.9894,1.2619,0.60821,0.45222,0.47359,0.21663,1.91694,1.61713,1.52505,0.00101,0.00101,0.00101
27,524.762,1.31484,0.98648,1.26527,0.57009,0.36847,0.39748,0.17398,2.17589,1.98306,1.68199,0.0009704,0.0009704,0.0009704
28,543.985,1.29233,0.97486,1.24885,0.56624,0.44629,0.40909,0.18744,1.99791,1.88452,1.58423,0.0009308,0.0009308,0.0009308
29,563.243,1.30233,0.95828,1.25739,0.60511,0.45419,0.46658,0.21533,1.92785,1.69052,1.53356,0.0008912,0.0008912,0.0008912
